title,rate,num,info,director,actor,time,country,type
天空之城,9.2,857728人,对天空的追逐，永不停止。 ,宫崎骏HayaoMiyazaki,田中真弓MayumiTanaka,1986,日本,动画
少年派的奇幻漂流,9.1,1338351人,瑰丽壮观、无人能及的冒险之旅。,李安AngLee,苏拉·沙玛SurajSharma,2012,美国,剧情
海蒂和爷爷,9.3,601874人,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,阿兰·葛斯彭纳AlainGsponer,阿努克·斯特芬AnukSteffen,2015,德国,剧情
钢琴家,9.3,630815人,音乐能化解仇恨。,罗曼·波兰斯基RomanPolanski,艾德里安·布洛迪AdrienBrod,2002,英国,剧情
大话西游之月光宝盒,9.0,1210965人,旷古烁今。,刘镇伟JeffreyLau,周星驰StephenChow,1995,中国香港,喜剧
指环王2：双塔奇兵,9.2,745074人,承前启后的史诗篇章。,彼得·杰克逊PeterJackson,伊利亚·伍德ElijahWood,2002,美国,剧情
闻香识女人,9.1,875539人,史上最美的探戈。,马丁·布莱斯MartinBrest,阿尔·帕西诺AlPacino,1992,美国,剧情
罗马假日,9.1,943005人,爱情哪怕只有一天。,威廉·惠勒WilliamWyler,奥黛丽·赫本AudreyHepburn,1953,美国,喜剧
天堂电影院,9.2,674466人,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,朱塞佩·托纳多雷GiuseppeTornatore,菲利普·努瓦雷Philipp,1988,意大利,剧情
死亡诗社,9.2,717003人,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,彼得·威尔PeterWeir,罗宾·威廉姆斯RobinWilliams,1989,美国,剧情
绿皮书,8.9,1631228人,去除成见，需要勇气。,彼得·法雷里PeterFarrelly,维果·莫腾森ViggoMortensen,2018,美国,剧情
大闹天宫,9.4,432409人,经典之作，历久弥新。,万籁鸣LaimingWan,邱岳峰YuefengQiu,1961(中国大陆),1964,剧情
指环王1：护戒使者,9.1,838192人,传说的开始。,彼得·杰克逊PeterJackson,伊利亚·伍德ElijahWood,2001,新西兰,剧情
黑客帝国,9.1,830479人,视觉革命。,安迪·沃卓斯基AndyWachowski,演职人员不详,1999,美国,动作
教父2,9.3,546588人,优雅的孤独。,弗朗西斯·福特·科波拉FrancisFordCoppola,阿尔·帕西诺A,1974,美国,剧情
狮子王,9.1,830668人,动物版《哈姆雷特》。,RogerAllers,乔纳森·泰勒·托马,1994,美国,动画
辩护人,9.2,584531人,电影的现实意义大过电影本身。,杨宇硕Woo-seokYang,宋康昊Kang-hoSong,2013,韩国,剧情
饮食男女,9.2,614822人,人生不能像做菜，把所有的料都准备好了才下锅。,李安AngLee,郎雄SihungLung,1994,中国台湾,剧情
搏击俱乐部,9.0,838662人,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,大卫·芬奇DavidFincher,爱德华·诺顿EdwardNorton,1999,美国,剧情
美丽心灵,9.1,762666人,爱是一切逻辑和原由。,朗·霍华德RonHoward,罗素·克劳RussellCrowe,2001,美国,传记
本杰明·巴顿奇事,9.0,973129人,在时间之河里感受溺水之苦。,大卫·芬奇DavidFincher,凯特·布兰切特CateBlanchett,2008,美国,剧情
穿条纹睡衣的男孩,9.2,558190人,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,马克·赫尔曼MarkHerman,阿萨·巴特菲尔德AsaButterfield,2008,英国,剧情
窃听风暴,9.2,559658人,别样人生。,弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck  &amp;n...<br,演职人员不详,2006,德国,剧情
情书,8.9,1101492人,暗恋的极致。,岩井俊二ShunjiIwai,中山美穗MihoNakayama,1995,日本,剧情
两杆大烟枪,9.1,590272人,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,盖·里奇GuyRitchie,杰森·弗莱明JasonFlemyng,1998,英国,剧情
西西里的美丽传说,8.9,967183人,美丽无罪。,朱塞佩·托纳多雷GiuseppeTornatore,莫妮卡·贝鲁奇Monica,2000,意大利,剧情
音乐之声,9.1,595776人,用音乐化解仇恨，让歌声串起美好。,罗伯特·怀斯RobertWise,朱莉·安德鲁斯JulieAndrews,1965,美国,剧情
看不见的客人,8.8,1244462人,你以为你以为的就是你以为的。,奥里奥尔·保罗OriolPaulo,马里奥·卡萨斯MarioCasas,2016,西班牙,剧情
阿凡达,8.8,1409007人,绝对意义上的美轮美奂。,詹姆斯·卡梅隆JamesCameron,萨姆·沃辛顿SamWorthington,2009,美国,动作
拯救大兵瑞恩,9.1,640990人,美利坚精神输出大片No1.,史蒂文·斯皮尔伯格StevenSpielberg,汤姆·汉克斯TomHanks,1998,美国,剧情
小鞋子,9.2,407476人,奔跑的孩子是天使。,马基德·马基迪MajidMajidi,默罕默德·阿米尔·纳吉Mohamma,1997,伊朗,剧情
飞越疯人院,9.1,541725人,自由万岁。,米洛斯·福尔曼MilošForman,杰克·尼科尔森JackNichols,1975,美国,剧情
